"","person_id","offer_num1","offer_num2","offer_num3","offer_num4","offer_num5","offer_num6","offer_viewed1","offer_viewed2","offer_viewed3","offer_viewed4","offer_viewed5","offer_viewed6"
"43","e8fe7ffcf1634713a819d48447737c90","offer2","offer5","offer4",NA,"offer7","offer7",1,NA,NA,NA,1,1
"44","d3f146b615514c6380b168bb3df5f05b","offer9","offer9",NA,"offer2","offer10","offer6",1,1,NA,1,1,1
"45","a5a6ef2b78a04ddc9f374dd7c7f60bff","offer8",NA,NA,"offer10","offer4",NA,1,NA,NA,1,1,NA
"46","2e87ba0fba1a4d1a8614af771f07a94d","offer6","offer6","offer7","offer9","offer8",NA,1,1,1,1,1,NA
"47","39dbcf43e24d41f4bbf0f134157e0e1e","offer1",NA,"offer10",NA,"offer8",NA,NA,NA,1,NA,1,NA
"48","8c7df0c393db488aac3e58b06a7ea5f9","offer6","offer1","offer10","offer8","offer10","offer2",1,1,NA,1,NA,1
"49","3a1242dda16248728e350c4bdeb21972","offer2","offer4","offer1",NA,"offer7","offer2",1,1,1,NA,NA,1
"50","8045834137dc47faa24f2c4547969f33","offer9","offer9","offer10","offer5",NA,"offer7",1,1,NA,NA,NA,1
"51","fb98ebe9e3e14afaa5b5db182b00b7ec","offer10","offer7","offer7","offer6","offer3",NA,1,1,1,1,NA,1
"52","99e9a1916821461ebd5d5048dc2dff7d","offer9","offer7","offer5","offer7",NA,NA,1,1,1,1,NA,NA
"53","3f244f4dea654688ace14acb4f0257bb","offer1","offer7","offer8","offer6",NA,NA,1,1,1,1,NA,NA
"54","6e04a90a0e074496b5f229eb1f553433","offer8",NA,"offer8","offer7","offer5","offer9",1,NA,1,1,NA,1
"55","262ad0fb526a4d53b572007da60cce24","offer9",NA,"offer9",NA,"offer8","offer3",1,NA,1,NA,1,NA
"56","a2b7a0b3487a4d779ddf4e11a034e2ee","offer8","offer6","offer9","offer1",NA,"offer10",1,1,1,1,NA,1
"57","2c5c63e5124e417b8504f76c868a4190","offer3",NA,"offer7","offer7","offer7","offer6",NA,NA,1,1,1,1
"58","fa7ccb17b2b14f32804d14f86ac87f04","offer10","offer5",NA,"offer4","offer4","offer9",1,NA,NA,1,NA,1
"59","571b739ada3041fb8fbd20f23ce034f7","offer2","offer8","offer3","offer2","offer3","offer2",1,1,1,1,1,1
"60","816afd4505d047cf893275fbfe825590","offer7","offer1","offer2","offer1","offer1","offer7",1,1,NA,1,1,1
"61","13b7b2eccf664a329d83d2a238a9a11d","offer9",NA,NA,"offer9","offer6",NA,1,NA,NA,1,NA,1
"62","68eee228713c429ebe1300155ad1fb33","offer6",NA,"offer1","offer8","offer4","offer8",1,NA,1,1,1,1
"63","8b70ca1f5f5a45bdac2ac2f990b71526","offer10",NA,"offer2","offer9","offer6","offer4",NA,NA,1,1,1,1
"64","9aba5058cb4f483da896335a1479a944","offer7","offer2","offer9","offer8",NA,"offer7",1,1,1,1,NA,1
"65","0ba6e2ad781c4429afd26cf0b35f2d11","offer7",NA,"offer5","offer2","offer8","offer8",1,NA,NA,1,1,1
"66","53bac762af27471eb294ff89ca1bae2c","offer7","offer1","offer8",NA,"offer3","offer3",1,1,1,NA,1,1
"67","b5abc1e85be84f43937b4fca0ad238cb","offer6","offer6","offer9","offer10",NA,"offer8",1,1,1,1,NA,1
"68","1c587de019994f93a242c6864fd7bc55","offer1",NA,"offer8","offer1","offer5",NA,NA,1,NA,NA,NA,NA
"69","3f4e408b0b2d4ea89dd16d7437d867c1","offer5",NA,"offer1","offer3","offer10","offer5",NA,NA,NA,NA,NA,NA
"70","b19c8e7ac2ff40ae92b4fcf3247f8912","offer2","offer1","offer5","offer7",NA,"offer3",1,1,NA,1,NA,NA
"71","21c73d53e2a74bb1b4dc172bff2b1aad","offer6","offer10","offer3","offer6","offer9","offer2",1,NA,1,1,1,1
"72","488773cae11f4b71875bfccd4e3e99f2","offer10","offer3","offer8","offer2","offer6",NA,NA,1,NA,NA,NA,1
"73","182e68952b474700b171e21b85c258ac","offer9","offer1","offer2","offer9","offer6","offer8",1,1,1,1,1,1
"74","1abeb816d9fa49b4b5b5ae51bc3d24c3","offer7","offer7","offer4","offer3","offer5",NA,1,1,1,NA,NA,NA
"75","92e07c49ee7448fca6e48df0c96e3eec","offer1",NA,"offer3","offer3","offer6","offer4",1,NA,1,NA,1,1
"76","f8aedd0cbea0419c806842b4265b82e5","offer1","offer1","offer9","offer2","offer7","offer6",1,NA,1,1,1,1
"77","5e9c83e8ab4d4e9ca83f3256d83ca756","offer3","offer3","offer1","offer2","offer4",NA,NA,1,1,1,NA,NA
"78","a9780228a1d04539afdee8b745e4be10","offer7","offer3","offer7","offer9",NA,"offer5",1,1,1,1,NA,1
"79","94f14dcfedba47e18b7efca13dd7574b","offer2","offer1","offer10","offer10","offer2",NA,1,NA,NA,1,1,NA
"80","8a4bc602e4424ab6b16f0b907f2f22af","offer1",NA,"offer4","offer2",NA,"offer3",1,NA,NA,1,NA,NA
"81","6d28f18e91324d358d69d1e4b01f1ace","offer9",NA,"offer8","offer10",NA,"offer2",1,NA,1,1,NA,1
"82","52f0bd64403f4958ab8fe9a6947c13c3","offer4","offer7","offer2","offer10","offer4","offer2",NA,1,NA,NA,NA,1
"83","93e67942586e43fb87d5ffb1ead8db41","offer2","offer1","offer7","offer3","offer9","offer9",1,1,1,NA,1,1
"84","716a961d2afb4c1d8307522a8cbb4f07","offer6","offer6","offer1","offer10","offer7","offer2",1,1,NA,NA,1,1
"85","13033baa9d294c3c9165a00d71b72614","offer10","offer6","offer6","offer9",NA,"offer1",1,1,1,1,NA,1
"86","d41fa9b8c2e24a1d94caa890c53bbcf6","offer4",NA,"offer2","offer1","offer8","offer6",NA,NA,1,NA,NA,NA
"87","1a353048b0884fc5a0afa27677ef1e80","offer8","offer8","offer4","offer6",NA,"offer6",1,1,NA,1,NA,1
"88","c099206f76b1414db7552f163520053c","offer4","offer2",NA,"offer8","offer9","offer6",1,1,NA,1,1,1
"89","e6d3eebb535e44aca1323edde5c346fa","offer10","offer2","offer8","offer8",NA,NA,1,1,1,1,NA,NA
"90","2cf5895bddf9467e878c6d51a622d5fb","offer9",NA,"offer7","offer1","offer4","offer2",1,NA,1,1,1,1
"91","6747dda08bed46298c23e05b64820a3a","offer3",NA,"offer9","offer9",NA,"offer5",1,NA,1,1,NA,NA
"92","f35b342b24734da18a830bb9329a4fbd","offer2","offer8","offer1","offer10",NA,NA,1,1,1,1,NA,NA
"93","4c29d22467af4d7faa137c4eedd65340","offer8",NA,"offer9","offer1","offer9","offer6",1,NA,1,1,1,1
"94","e997a086fc13446da2aa9070d98d191a","offer6","offer10","offer1",NA,"offer4","offer8",1,NA,1,NA,NA,1
"95","17af917bb842480e925e49a8ca08c1f8","offer6","offer1","offer7",NA,"offer6","offer8",1,1,NA,1,1,1
"96","7c8479d8241344f6a0c306621e191c75","offer8","offer7","offer3","offer2","offer8","offer2",1,1,1,1,1,1
"97","5404741ead9442bdbd4b9aa2273e85af","offer6","offer2","offer5",NA,"offer3","offer4",1,1,1,NA,1,1
"98","81e9ad5fa55a4884b65e01a5db8f1b4e","offer1","offer1","offer9",NA,NA,"offer3",1,1,1,NA,NA,NA
"99","ed46fca6de7042478b411690878dc069","offer10","offer1","offer9","offer4","offer10","offer8",1,1,1,NA,NA,1
"100","37a97f6e09784a07bbb67bc6539f1a00","offer3","offer3",NA,"offer3","offer1","offer1",1,NA,NA,NA,1,1
"101","65f06566a2a14f64b003964f211635e1","offer3","offer2","offer3",NA,"offer2","offer10",1,1,NA,NA,1,NA
"102","88baa20c29a94178a43a7d68e5f039d4","offer5","offer2",NA,NA,"offer8","offer8",NA,1,NA,NA,NA,1
"103","23f9e3baf42b43148fee9bbbc3530c7a","offer5","offer9",NA,"offer9",NA,"offer4",1,1,NA,1,NA,1
"104","28de174a5c854dd1be3187dc6edae45b","offer10","offer10","offer8","offer6","offer9","offer7",1,NA,1,1,1,1
"105","a1eb338ccbca4cc88c9366939f16d819","offer1","offer10",NA,"offer3",NA,NA,1,1,NA,1,NA,NA
"106","220a39cdfd6b41268c43a2e588fcb7e0","offer9","offer4",NA,NA,"offer5","offer6",1,NA,NA,NA,NA,1
"107","2399b6b4f8bb4fecb3cfd9cb986922b7","offer9",NA,"offer5","offer3","offer5","offer2",1,NA,1,1,NA,1
"108","fe97aa22dd3e48c8b143116a8403dd52","offer7","offer3",NA,"offer8","offer3","offer3",1,1,NA,1,1,1
"109","c863af14b3654499b1caea5e640136d2","offer8","offer6",NA,"offer5","offer7","offer1",1,1,NA,1,1,1
"110","d7dc31e069124ef49e1bb937cb89f41c","offer2",NA,"offer3",NA,"offer8",NA,1,NA,1,NA,1,NA
"111","1827da57bb924833a6f73c79b5f2bbc5","offer4","offer10","offer5","offer2","offer7","offer9",NA,NA,NA,1,1,1
"112","721eb06ac285463aa6e1184e0ea9b7f0","offer4","offer5","offer6",NA,"offer6","offer10",1,NA,1,NA,1,NA
"113","0f54094029ca4107bfd36203aeb3ed14","offer3","offer6","offer10",NA,"offer2","offer8",1,1,1,NA,1,1
"114","5f18c5754dc04baaa1267c823f877a85","offer5","offer5","offer8","offer5","offer6",NA,NA,NA,1,NA,1,NA
"115","d8567f1400d8486cb31c6abba64389ec","offer1",NA,"offer1",NA,NA,"offer4",1,NA,1,NA,NA,NA
"116","30fae86966114f6e83c3043b22b6b7c4","offer2","offer1","offer10","offer7","offer6","offer7",1,1,NA,1,1,1
"117","fd700397b7c8440baa70d5539926c5a0","offer3","offer7",NA,"offer4","offer2","offer9",NA,1,NA,NA,1,1
"118","4293153650e04742b310ac06cd3810e9","offer4","offer5","offer8","offer10",NA,NA,1,1,1,1,NA,NA
"119","2ce2e03319c7446ca9c379b4589da19b","offer2",NA,"offer7","offer8","offer9","offer1",1,NA,1,1,1,1
"120","c382ccba648a45b0bb55f3465df838aa","offer6","offer6","offer1","offer3","offer4","offer8",1,1,1,NA,NA,NA
"121","127cd9d95e6247e5b92bff64d6205a94","offer1","offer9","offer7","offer4",NA,"offer9",1,1,1,NA,NA,1
"122","3ecb372184104ff7bad0f0f60cb56e29","offer3","offer4","offer8","offer5",NA,"offer6",1,NA,1,NA,NA,1
"123","8a37057f57c4495fb98dfcc8b909b09f","offer7",NA,"offer8","offer4","offer1","offer5",1,NA,1,1,1,NA
"124","11da2f066d3943699d10b61fd276fd1a","offer5","offer9","offer7","offer9","offer7",NA,1,1,1,1,1,NA
"125","21b02228cd4441b49bf0b5ff046f4b75","offer5","offer6",NA,"offer10","offer1","offer2",NA,1,NA,1,1,1
"126","629fc02d56414d91bca360decdfa9288","offer4","offer8","offer10","offer5","offer5","offer8",1,1,1,1,1,1
"127","2481f1fcfbcb4b288e5a03af02d95373","offer10",NA,"offer10","offer3",NA,NA,NA,NA,NA,1,NA,NA
"128","91dc71c4e9bd45b0861825c32f5ee8f9","offer3","offer5",NA,"offer7","offer7","offer10",NA,NA,NA,NA,1,NA
"129","bc62f4b408144010914d5755f1d17bdf","offer1",NA,"offer1",NA,"offer3","offer8",1,NA,NA,NA,1,1
"130","5cac1f0d55c3466fb29e8de342a5e9c9","offer10",NA,"offer3","offer9","offer2","offer6",NA,NA,NA,1,1,1
"131","041fd7c6b796430a867c4e03d2ff8f4d","offer5","offer6","offer7","offer10","offer5","offer5",NA,1,1,NA,1,NA
"132","348bdc19d65f49b8b98f72c59e64cd89","offer1",NA,"offer10","offer8","offer7","offer3",1,NA,1,1,1,1
"133","791ffe6d3dc848d2b233129a8096f7ab","offer6","offer6","offer5","offer1","offer7",NA,1,1,NA,NA,1,NA
"134","b818e955451b47db9fc8767fa45e464e","offer6","offer4","offer6","offer10","offer7","offer10",1,NA,1,NA,1,NA
"135","7b1b0b6cbce6475ebb6c8945c29cd79f","offer6","offer9","offer10",NA,NA,"offer5",1,1,NA,1,NA,NA
"136","a9ecb39d93d74696a9d6ddd5355329ff","offer10","offer5","offer5","offer2",NA,"offer7",NA,NA,NA,1,NA,1
"137","0d18c37c8b58459f8aa6af2f7b541357","offer9",NA,NA,"offer8","offer1","offer10",1,NA,NA,1,NA,1
"138","d250372c924747d8ac9a8fa88f584bc3","offer9","offer10","offer3","offer2",NA,"offer5",1,NA,NA,1,NA,NA
"139","3cea9c09fefb4c33ae2f0aa604af7eb4","offer10","offer7",NA,"offer9","offer9","offer5",NA,1,NA,1,1,NA
"140","87efa556dd48400cb4231a273e088bcf","offer6",NA,"offer5","offer10","offer9",NA,1,NA,1,NA,1,NA
"141","4e4c47b460b1414c8ddd459b61f84b9e","offer4",NA,"offer4","offer1","offer10","offer3",1,NA,NA,1,1,1
"142","accec36a10704e1fbaeb9b28b8bc5da8","offer7","offer3","offer2","offer7","offer5","offer8",1,1,1,1,1,1
"143","d1a6fe4c241e4dbf8a4da6fd6c714ac5","offer4","offer4","offer8",NA,"offer3","offer1",1,1,NA,1,1,1
"144","cf5e1f22460c47868c548fc4ffc6dfec","offer7","offer9",NA,NA,"offer9","offer6",1,1,NA,NA,1,1
"145","9df2790f060d430e94f17189042e5671","offer9","offer3",NA,"offer9","offer7",NA,1,1,NA,1,1,NA
"146","ae47fbe72b274838a2093c3e91bc03dc","offer1","offer2","offer1","offer8",NA,"offer9",1,1,1,1,NA,1
"147","5549b705af144f9aa6ff76a1515fc908","offer9",NA,NA,"offer7","offer8",NA,1,NA,NA,1,NA,1
"148","5627d082d908490aaac42034255a91b5","offer9","offer1","offer6","offer4",NA,NA,1,1,1,1,NA,NA
"149","aa4a681ea192401ab469b616f8fe6885","offer3","offer10","offer7","offer3","offer6","offer4",NA,NA,1,1,1,NA
"150","ae40f2f496e84ed29e7638b0bccee9a4","offer9","offer3","offer6","offer3","offer1","offer3",1,NA,1,1,1,1
"151","e94a9c2e750645d0a1aca57a9b4ca4c3","offer5","offer3","offer10","offer5","offer8","offer6",NA,1,NA,NA,NA,1
"152","d8fc164eb048450797d598b391c09ffa","offer9","offer3","offer6","offer2","offer5","offer4",1,1,1,1,1,1
"153","bf2c086d4c4049289df1e0c8ea08f55c","offer4","offer3","offer7",NA,"offer7",NA,NA,NA,1,NA,1,NA
"154","5b9c1a35c0144b6ab584e666dec7c531","offer4","offer8",NA,"offer6","offer1","offer3",NA,1,NA,1,1,NA
"155","ad3c443c9ce34aa38929b0a84cb14c04","offer9","offer2",NA,"offer3",NA,NA,1,1,NA,1,NA,NA
"156","688e4f2487d44ad8bbcc0f96936f42d6","offer8",NA,"offer5",NA,"offer5","offer6",NA,NA,1,NA,NA,1
"157","73c157a4b8e342fcb5d8479d8cb41e81","offer3","offer2","offer5",NA,"offer1","offer3",NA,1,NA,NA,1,NA
"158","82d57bf7f37a4b37aff9e7bd293be8bc","offer1","offer7",NA,"offer4","offer1","offer8",1,1,NA,1,NA,1
"159","e737ff591120415581ddbe817b8c82ca","offer8","offer4",NA,"offer1",NA,NA,1,NA,NA,1,NA,NA
"160","9cb34ff9de694c578154da3efc9915db","offer9","offer3","offer4","offer1","offer8","offer10",1,NA,NA,1,1,NA
"161","4e5923e5deab4d5cb1624a0b1cc9909c","offer6","offer10","offer10","offer2","offer6","offer4",1,NA,NA,1,1,NA
"162","2c5c71b7bfaa4e3e8088fc177e6e559b","offer3",NA,"offer8","offer6",NA,"offer8",1,NA,NA,1,NA,1
"163","307245a5204947e5a9f952daffcad5f2","offer7","offer7",NA,"offer6","offer9",NA,1,1,NA,1,1,NA
"164","341276cb09ac42ad8473be091b52b082","offer9","offer10",NA,"offer10",NA,"offer8",1,1,NA,NA,NA,1
"165","18174519037241e9b1ddcb627ca4dc41","offer8",NA,NA,NA,"offer10","offer5",1,NA,NA,NA,NA,NA
"166","978d48db5c714a4490d904412f85b502","offer2","offer10","offer2","offer1","offer1","offer10",1,1,1,1,NA,NA
"167","57b591069ad24965ba32f0b224583f97","offer8","offer1","offer10","offer6","offer3","offer5",1,1,NA,1,NA,NA
"168","044f41cfd98940119477d73c81f973a3","offer3","offer6","offer1","offer6","offer4","offer10",NA,1,1,1,1,NA
"169","031387fa9cfd47e88f4e4b4b4cb71925","offer7","offer5","offer5","offer3",NA,"offer10",1,1,1,1,NA,1
"170","8c410d84af08408fb41f953c93ffac27","offer10","offer9","offer7","offer6","offer9","offer4",1,1,NA,1,1,1
"171","09e7e40eb89943458f4f79fe2e023dd6","offer7","offer3","offer10","offer10","offer6","offer6",1,NA,NA,NA,1,1
"172","9d15e156105d4fb083ee65932ef6fe26","offer7",NA,"offer8","offer7","offer3","offer5",1,NA,1,1,1,1
"173","02f77bb76ed14d28a05e23b3e00aeb9b","offer2",NA,"offer2","offer8","offer2","offer9",1,NA,1,1,NA,1
"174","2a01c11fdcc441bcbdc842c35adccb2f","offer5","offer2","offer8","offer2","offer10",NA,NA,1,1,1,1,NA
"175","78e9be059fce46a1b610f74e0e812a4a","offer5","offer3","offer4","offer5","offer10","offer9",1,1,1,1,1,1
"176","ad4fd34e9f7e4fd9ae627edd73ca2081","offer4",NA,"offer7","offer2","offer10","offer7",1,NA,1,1,1,1
"177","ace4a7611da040748d1722cda25b6280","offer5","offer5",NA,"offer5",NA,"offer9",NA,NA,NA,NA,NA,1
"178","c894971c9e414a358b84255199727636","offer6","offer7","offer6","offer2","offer6","offer8",1,1,1,1,1,1
"179","e277228d77a64ab896d6dd6d88f970d3","offer9","offer6","offer4","offer10","offer7","offer8",1,1,NA,1,1,1
"180","6f04a68e93df44d1b2329a399016452b","offer6","offer1",NA,"offer3","offer8","offer7",1,1,NA,NA,1,1
"181","27aa749a6f5f448e91327028a2ac7fb5","offer8","offer2","offer2","offer2","offer4","offer8",1,1,1,1,NA,1
"182","ba9fb3e4a7084361914c1647d871d27e","offer8",NA,NA,"offer5","offer7","offer10",1,NA,NA,NA,1,NA
"183","00c6035df45840038a72766c6d27a0db","offer7","offer1","offer3",NA,NA,"offer6",1,1,1,NA,NA,1
"184","bbeb54e861614fc7b22a8844f72dca6c","offer4",NA,"offer6","offer9","offer4","offer7",NA,NA,1,1,1,1
"185","fffad4f4828548d1b5583907f2e9906b","offer9","offer8",NA,"offer9",NA,"offer4",1,1,NA,NA,1,1
"186","50fb5c0c6b1b4f43bd5f4a818dddb513","offer3","offer9","offer3","offer3","offer8","offer7",NA,1,NA,NA,1,1
"187","c6a2cd4fdc104ea5896ac60300f6842d","offer7","offer4","offer7","offer1","offer9",NA,1,NA,1,1,1,NA
"188","1a297cc7262d42b59fb3e34fe0166702","offer5","offer8","offer3","offer4","offer4","offer8",NA,1,NA,NA,NA,1
"189","5ad59daa0d6b41f0a0c115443c1d8828","offer6",NA,"offer7","offer3","offer8","offer1",1,NA,1,1,1,1
"190","2b91e3c00a424185ab261b2a204c9718","offer8","offer5",NA,"offer7","offer4","offer6",1,1,NA,1,1,1
"191","5ceb90c4e738427f90cd7b16d51c59bc","offer10",NA,"offer2","offer5","offer7","offer8",1,NA,1,1,1,1
"192","23bc15e276d247669fd7d1c08a8fb678","offer9","offer9",NA,"offer9","offer6","offer4",1,1,NA,1,NA,NA
"193","da6c95e567f94dfdb54c16073807fcfe","offer4","offer4","offer8","offer1",NA,"offer9",1,NA,1,1,NA,1
"194","3ccc9efe36dc4f13a8a5fc3f3f655f2a","offer5","offer5","offer3",NA,NA,"offer9",NA,NA,1,NA,NA,1
"195","932715eb8a33450c83c1557c99968c7b","offer10","offer1",NA,"offer1","offer5","offer10",NA,1,NA,1,NA,NA
"196","d0be9ff460964c3398a33ad9b2829f3a","offer4","offer1","offer10",NA,"offer5","offer7",1,1,1,NA,1,1
"197","327d08559d564f13b6aaf681700c2e6e","offer5","offer10","offer6","offer8",NA,NA,NA,1,1,1,NA,NA
"198","c05652fa9d2c4fac9a010ea5a9310c86","offer4","offer10","offer2","offer1","offer5","offer2",1,NA,1,1,NA,1
"199","fbc039723b044dfd8a1723a976d667d9","offer5","offer4","offer4",NA,"offer10","offer7",1,1,1,NA,1,1
"200","e1103f6b4c444f84b65f856738c0f60c","offer5","offer7","offer4","offer4","offer6","offer1",1,1,NA,NA,1,1
"201","b6905df3630b4137b077b6e1b4b21d75","offer4","offer4","offer10","offer5","offer2","offer1",NA,NA,NA,NA,1,1
"202","2c3a4de659584bed8d27cfd865f06928","offer3","offer2",NA,"offer4","offer9","offer4",1,1,NA,1,1,1
"203","28416e7d96d746fb9c1fb8223d9e4914","offer8",NA,"offer5",NA,"offer1","offer5",NA,1,NA,NA,1,NA
"204","24c1287eb7a84cfd80472a82e05b1d57","offer7",NA,"offer8","offer8","offer9",NA,1,NA,1,1,1,NA
"205","a4579681ffca49cfbff6f5453a49bf76","offer5",NA,"offer5","offer6","offer2","offer10",NA,NA,NA,1,NA,1
"206","63de418bea27420ab6485d524cb3464b","offer9","offer5",NA,"offer4","offer2","offer6",1,NA,NA,1,1,1
"207","393e6938e7eb46cb86bcb04f231efc0f","offer4","offer3","offer6","offer5","offer7","offer9",NA,1,1,1,1,1
"208","62fb072537a647a89f99fb9ea66a7c00","offer7","offer10","offer3","offer10","offer7",NA,1,NA,NA,NA,1,NA
"209","585fb2dc600d4a0f912d8911aba11203","offer6",NA,"offer9","offer7","offer6","offer1",1,NA,1,1,1,1
"210","9b0e7b326e314b758369c2f794566eb3","offer3","offer7","offer1","offer3",NA,"offer6",1,1,1,1,NA,1
"211","ad37608a05a9453d8439806e90962c59","offer3",NA,"offer7",NA,"offer7","offer10",NA,NA,1,NA,1,1
"212","4e6eb10de9744995be7496f5b1cc7bcf","offer7","offer8",NA,"offer4","offer4","offer5",1,1,NA,NA,1,NA
"213","a02783021b7c49eba12cb58cc73a4c44","offer8","offer4","offer10","offer1",NA,"offer2",1,1,1,1,NA,1
"214","e08a264dc9a54efca07e1cf7e9b38480","offer2","offer4","offer10",NA,"offer5",NA,1,NA,1,NA,NA,NA
"215","a4ac99af1b7f4344b734ac07592ab717","offer8",NA,"offer5",NA,"offer8","offer10",1,NA,1,NA,1,1
"216","f8362fcaa42248fca2a2a174951a954a","offer5","offer10",NA,"offer10","offer5","offer2",1,1,NA,1,1,1
"217","b7658a8eab2f42668a9d66499b001e88","offer1","offer3","offer6","offer5","offer1","offer5",1,NA,1,NA,1,1
"218","98df356ed5864c12a227be4fff503e42","offer7","offer7","offer7","offer8",NA,NA,1,1,1,1,NA,NA
"219","a8719d4d305444579b2d2c1b777c3417","offer6","offer1",NA,NA,"offer8","offer9",1,1,NA,NA,NA,1
