"gender","age","membership_start","income","ave_spend","max_spend","tenure","recency","frequency","monetary_value","r_score","f_score","m_score","fm_string","fm_score","rfm_string","rfm_score","person_id"
"M",47,"2017-02-25",86000,21.96,36.65,516,666,11,241.55,"7","8","10","810",18,"7810",25,"00c6035df45840038a72766c6d27a0db"
"F",22,"2016-11-15",49000,9.62,16.96,618,678,14,134.74,"7","9","7","97",16,"797",23,"00c91f31f5f74e769fa7a359b63e1a9f"
"M",34,"2018-05-19",38000,3,6.86,69,690,9,26.98,"8","7","3","73",10,"873",18,"00ceaf16a40341e6996d543d04daa2c2"
"M",53,"2018-05-15",73000,21.42,33.28,73,564,3,64.27,"2","2","5","25",7,"225",9,"00cf1bbec83f4a658f8994e556db4633"
"M",53,"2018-01-28",40000,3.27,8.41,179,660,8,26.18,"6","6","3","63",9,"663",15,"00cf471ed1aa42a8bdde5561d67da2b1"
"F",58,"2017-12-11",115000,27.89,42.75,227,672,12,334.64,"7","8","10","810",18,"7810",25,"00d6dc87be4146ceb47fcd4baaaf6477"
"M",22,"2015-12-24",32000,3.14,10.38,945,654,19,59.62,"6","10","4","104",14,"6104",20,"00d791e20c564add8056498e40eb56cc"
"M",71,"2016-12-29",75000,23.2,29.39,574,666,7,162.42,"7","6","8","68",14,"768",21,"00d7c95f793a4212af44e632fdc1e431"
"M",45,"2018-01-25",88000,22.3,25.38,182,708,2,44.6,"10","1","4","14",5,"1014",15,"00d91c5919514448bc4f718e4e3f26ab"
"F",82,"2014-12-11",33000,9.58,125.32,1323,708,20,191.55,"10","10","9","109",19,"10109",29,"00e20b4ca129458aaab0f4727ef3513a"
"M",40,"2016-10-18",65000,11.54,15.75,647,624,2,23.07,"4","1","2","12",3,"412",7,"00e52682848542c3a6f59b7824e9a5c5"
"M",35,"2018-02-26",70000,4.43,9.8,150,702,7,30.98,"9","6","3","63",9,"963",18,"00e8d701c583461e81cc10053681a12b"
"M",73,"2016-04-17",45000,36.15,439.37,831,708,17,614.59,"10","10","10","1010",20,"101010",30,"00e9f403afa641889cd034ee7c7ca6e9"
"M",55,"2016-07-31",94000,21.54,32.55,726,690,11,236.96,"8","8","9","89",17,"889",25,"00ed7e22b32749cfafbfd88592d401d4"
"M",60,"2017-08-16",74000,4.03,4.03,345,708,1,4.03,"10","1","1","11",2,"1011",12,"00ee2ca6421c4af0aeca60a1b3e00f6c"
"M",45,"2018-01-14",52000,3.16,5.88,193,714,5,15.79,"10","4","2","42",6,"1042",16,"00ee69db83964d6da32f8109b32a1ce7"
"M",57,"2017-04-15",80000,18.62,26.69,468,648,10,186.23,"6","8","9","89",17,"689",23,"00fac72fd6ad448e8019b175267023df"
"F",56,"2018-02-23",91000,26.7,33.07,153,528,3,80.1,"2","2","5","25",7,"225",9,"00fbb9b5edb94f02afbaf1eb49bb4d7d"
"M",55,"2016-11-15",104000,25.55,31.16,618,600,3,76.65,"3","2","5","25",7,"325",10,"00fdd4416dec40b49180814c0a7c8d76"
"M",19,"2016-07-25",50000,13.18,21.31,732,666,11,144.97,"7","8","8","88",16,"788",23,"0103de989e084e0fab400e80678d7591"
"F",68,"2017-03-28",32000,7.21,13.92,486,690,18,129.86,"8","10","7","107",17,"8107",25,"01162252405b4524a8fa1bf8e6d5f04b"
"M",52,"2018-05-01",38000,4.04,10.31,87,654,5,20.2,"6","4","2","42",6,"642",12,"01176ee7289b48e39ee6261d5c071a07"
"M",57,"2017-08-21",55000,21.35,27.57,340,450,3,64.04,"1","2","5","25",7,"125",8,"0118fbb66dd2443a9dd407d2c99a7672"
"F",86,"2018-04-12",109000,31.95,48.09,106,564,6,191.68,"2","5","9","59",14,"259",16,"0121fe001b7a404fa9cbe486f8944baf"
"F",54,"2017-09-17",117000,29.46,32.85,313,570,6,176.74,"3","5","8","58",13,"358",16,"0123564dbaf144a88a418c33b6350c17"
"M",58,"2014-10-24",54000,3.46,12.07,1372,714,20,69.18,"10","10","5","105",15,"10105",25,"013094309e1b49e095c098df412d125d"
"F",86,"2017-06-22",73000,19.37,25.83,400,564,8,154.99,"2","6","8","68",14,"268",16,"01380da907f8495496679c795867790b"
"M",67,"2017-08-21",79000,20.73,33.38,340,666,9,186.54,"7","7","9","79",16,"779",23,"013f2c82889f4641a9b847a48861cce0"
"M",70,"2018-03-01",60000,1.58,3.7,147,630,4,6.32,"5","3","1","31",4,"531",9,"0141d3870a424c03a20390040efad826"
"F",61,"2015-10-10",118000,26.12,40.7,1021,672,16,417.93,"7","10","10","1010",20,"71010",27,"01443a2afce54939a323c978f467c540"
"F",52,"2016-03-24",115000,28.71,42.14,854,678,10,287.11,"7","8","10","810",18,"7810",25,"014899c751254a62a96ce676eb11ddc2"
"F",70,"2017-11-09",76000,19.96,27.83,259,558,10,199.65,"2","8","9","89",17,"289",19,"0157e63b39c5456393026c6c03f3d84a"
"M",56,"2016-03-22",99000,23.54,30,856,618,10,235.41,"4","8","9","89",17,"489",21,"015c3d28c67e46aa95e9ec97c27220e8"
"F",44,"2017-01-18",35000,6.09,7.72,554,708,3,18.28,"10","2","2","22",4,"1022",14,"015ef929e016415098eeae8ce59da721"
"M",46,"2018-07-10",35000,2.38,4.33,17,714,6,14.29,"10","5","2","52",7,"1052",17,"015fb0b3fbaa4aceb910fbdf272f7547"
"F",84,"2017-10-14",74000,16.64,31.16,286,696,5,83.2,"9","4","5","45",9,"945",18,"016086228d58476599d0b47881c25509"
"M",22,"2018-03-17",57000,2.07,4.45,131,660,5,10.33,"6","4","1","41",5,"641",11,"01613170f679422a8acfa96f0f19fdf2"
"M",62,"2015-09-02",90000,20.19,24.8,1059,714,8,161.51,"10","6","8","68",14,"1068",24,"01633b71b3a2457aa7d35d8bcc3afb5a"
"F",57,"2018-06-01",79000,15.26,19.04,56,450,3,45.79,"1","2","4","24",6,"124",7,"016871ea865d4338975026ae08d221d0"
"M",24,"2014-05-18",56000,3.68,13.36,1531,714,15,55.18,"10","9","4","94",13,"1094",23,"016b37032984457fb33ba2767fcc8c9f"
"F",66,"2015-12-29",57000,14.56,19.54,940,678,9,131.05,"7","7","7","77",14,"777",21,"016edb1d1d67477391c5337545a5d98a"
"F",68,"2015-12-14",76000,22.01,26.48,955,618,9,198.09,"4","7","9","79",16,"479",20,"017160c1cdb845d48abec3c330b4427e"
"F",54,"2017-07-13",30000,7.28,10.81,379,600,8,58.28,"3","6","4","64",10,"364",13,"01772eae932447f9a853461a60820dc6"
"M",20,"2016-01-02",43000,11.68,24.67,936,654,13,151.83,"6","9","8","98",17,"698",23,"01784d3e205548a594ba3fcdbdaaf17d"
"M",56,"2017-11-06",35000,8.5,18.64,262,678,13,110.52,"7","9","6","96",15,"796",22,"017a93d1204f457bbe85f5e7de062b56"
"M",61,"2015-08-29",1e+05,100.34,713.2,1063,546,10,1003.41,"2","8","10","810",18,"2810",20,"017febbe52e64ac19cf28cf0d44386e4"
"M",72,"2018-01-22",45000,2.81,7.28,185,672,18,50.55,"7","10","4","104",14,"7104",21,"01873cc8de734961949af7c04b2e9872"
"M",61,"2017-10-14",78000,21.44,25.04,286,570,3,64.33,"3","2","5","25",7,"325",10,"01887dcd32b64feb807e2436548b6c87"
"M",61,"2016-12-02",34000,7.59,14.41,601,666,13,98.65,"7","9","6","96",15,"796",22,"018a49ffb8cf4812903e7c1f56fbb0b0"
"F",75,"2018-05-02",109000,18.52,18.57,86,552,2,37.04,"2","1","3","13",4,"213",6,"018b8f83176d471db63d9733c741fc8a"
"F",57,"2015-11-19",116000,27.31,29.14,980,510,2,54.62,"2","1","4","14",5,"214",7,"01925607d99c460996c281f17cdbb9e2"
"M",52,"2016-08-25",95000,24.87,31.71,701,606,10,248.65,"4","8","10","810",18,"4810",22,"01956670cf414b309675aa73368b94a9"
"F",60,"2018-03-22",51000,15.28,27.56,126,240,4,61.12,"1","3","4","34",7,"134",8,"0196d2062b8d4d019b8d96292266e8a4"
"F",74,"2017-11-30",72000,22.3,28.53,238,618,10,222.96,"4","8","9","89",17,"489",21,"0199681637524988a14245632b8376af"
"F",23,"2015-11-08",33000,6.72,12.41,991,708,21,141.2,"10","10","7","107",17,"10107",27,"019be0c6f8fd4000b1967c7308b4bdf4"
"M",27,"2018-07-10",39000,2.35,3.39,17,678,7,16.48,"7","6","2","62",8,"762",15,"019cc78d8fed432ca6df71c132c72a99"
"M",59,"2017-07-15",76000,64.39,342.08,377,564,8,515.09,"2","6","10","610",16,"2610",18,"019ed95d987446e3947da0246cdab831"
"F",74,"2016-11-11",91000,26.01,37.66,622,618,6,156.05,"4","5","8","58",13,"458",17,"01a202a9021e40aeaa5451a5d134c16c"
"M",55,"2017-09-12",79000,19.03,25.74,318,498,3,57.1,"1","2","4","24",6,"124",7,"01a5e8b57bc04e0292525f3e2817fa17"
"F",87,"2018-07-17",77000,128.86,573.13,10,630,5,644.29,"5","4","10","410",14,"5410",19,"01ab25c31f034f85bc4ac9d286fb7a76"
"F",53,"2015-10-30",88000,20.95,30.91,1000,708,12,251.46,"10","8","10","810",18,"10810",28,"01ac633821f0498893320b41b5b22dfc"
"M",48,"2013-08-15",52000,13.58,26.55,1807,684,12,162.9,"8","8","8","88",16,"888",24,"01b6d7e8f0884deb936a8a7f15dba895"
"M",49,"2017-01-26",73000,4.97,8.26,546,672,8,39.74,"7","6","3","63",9,"763",16,"01d26f638c274aa0b965d24cefe3183f"
"F",44,"2018-03-12",76000,0,0,136,0,0,0,"1","1","1","11",2,"111",3,"01d7da27b8934ba1b3602a0153e4415f"
"F",53,"2017-04-23",84000,109.41,637.32,460,672,7,765.88,"7","6","10","610",16,"7610",23,"01de69b5edab4b89859ea8a7214ba35a"
"F",60,"2015-08-24",74000,21.56,27.79,1068,690,4,86.26,"8","3","5","35",8,"835",16,"01e09d713abe4a36a70a33fe4b40534e"
"F",29,"2016-12-11",31000,6.75,24.29,592,714,15,101.19,"10","9","6","96",15,"1096",25,"01e57718fc6b49b2875a9c02b32905b1"
"F",54,"2015-10-24",119000,22.64,30.29,1007,636,8,181.16,"5","6","9","69",15,"569",20,"01e8739670a042b3877f8e843bdf55a7"
"F",20,"2017-09-03",43000,2.24,5.96,327,690,8,17.96,"8","6","2","62",8,"862",16,"01e97a4633bf4963838a4aa9ed1dce3e"
"F",70,"2017-11-09",92000,27.12,35.83,259,522,5,135.58,"2","4","7","47",11,"247",13,"01ef4c6618b64334a15914ff9963eaac"
"F",69,"2017-12-20",79000,17.97,20.94,218,702,3,53.92,"9","2","4","24",6,"924",15,"01f33ff554d0443a9841adfd66d253f6"
"O",63,"2015-09-20",89000,20.82,30.08,1041,618,8,166.59,"4","6","8","68",14,"468",18,"01f46a5191424005af436cdf48a5da7c"
"F",62,"2017-05-31",62000,19.53,30.01,422,612,5,97.64,"4","4","6","46",10,"446",14,"01f663b988964a4caca8b19abecb551d"
"M",44,"2017-08-02",64000,16.19,21.78,359,708,10,161.89,"10","8","8","88",16,"1088",26,"01fe5ec668f241608eb2f7ec374cb1b7"
"F",54,"2017-04-02",58000,15.49,22.79,481,666,9,139.41,"7","7","7","77",14,"777",21,"01ff6c5d8d014dbd8c120e2b43a065ea"
"M",64,"2016-12-10",76000,21.67,29.09,593,702,9,195.01,"9","7","9","79",16,"979",25,"0200f61c69da4c2ea078842cdaf234e6"
"M",39,"2017-06-04",71000,17.99,20.86,418,414,4,71.95,"1","3","5","35",8,"135",9,"0206e1388c34454caba2b7fce3123943"
"M",67,"2016-01-07",39000,2.79,7.36,931,714,16,44.69,"10","10","4","104",14,"10104",24,"020be6e9805649858595dfbaab15ccd7"
"M",59,"2015-06-18",42000,3.17,5.95,1135,714,11,34.88,"10","8","3","83",11,"1083",21,"020be8b0fafa446ebcce6449b20bc92c"
"F",83,"2018-05-13",67000,17.92,21.45,75,600,13,232.9,"3","9","9","99",18,"399",21,"020cd0f8047142e18a754303f9337d53"
"F",68,"2017-06-26",57000,14.01,27.89,396,672,18,252.14,"7","10","10","1010",20,"71010",27,"020d72e77c704c42bb0a858c1aaa3bcd"
"F",58,"2015-11-16",64000,59.02,570.78,983,696,13,767.29,"9","9","10","910",19,"9910",28,"0215efe5136d4a038cb81eae92d59368"
"M",28,"2016-12-18",64000,18.21,23.86,585,522,12,218.51,"2","8","9","89",17,"289",19,"021616b8deea46438e3badc7fca5894d"
"M",70,"2016-03-20",64000,17.71,27.08,858,666,13,230.21,"7","9","9","99",18,"799",25,"0217c4393fd54e74a523b63c0fcc3da5"
"M",77,"2015-02-09",94000,24.86,40.14,1263,648,9,223.7,"6","7","9","79",16,"679",22,"0218964095c94da0bfac44cf40c9343f"
"M",57,"2017-04-05",65000,17.66,29.35,478,606,14,247.26,"4","9","10","910",19,"4910",23,"021adce38ab34ede96422ae107643fd5"
"F",46,"2015-02-21",73000,17.26,23.91,1251,714,5,86.28,"10","4","5","45",9,"1045",19,"021c1940868647efbcb40ccdb942813b"
"M",64,"2018-01-02",43000,2.32,3.9,205,714,10,23.17,"10","8","2","82",10,"1082",20,"0222d267445f4f078bc325224e471766"
"F",42,"2017-09-12",50000,14.77,19.47,318,708,4,59.09,"10","3","4","34",7,"1034",17,"0225045e245f4b7289cc55c0b5870ae2"
"F",46,"2017-03-19",62000,16.17,24.79,494,714,23,371.91,"10","10","10","1010",20,"101010",30,"022f5553a0704b53ba26f2d23cb1234d"
"F",28,"2018-01-20",65000,4.25,11.06,187,666,8,34.01,"7","6","3","63",9,"763",16,"0231c913a51e420783be6bdeb75aa842"
"M",61,"2018-05-23",59000,2.16,3.79,65,660,10,21.57,"6","8","2","82",10,"682",16,"023411b8a45a4715979dae6cec425a8b"
"M",38,"2017-08-27",66000,2.78,6.73,334,714,18,50.09,"10","10","4","104",14,"10104",24,"023a42cf62f742b795a975d56955e220"
"M",21,"2017-10-08",53000,4,7.7,292,678,7,28,"7","6","3","63",9,"763",16,"023fd15e56184ec19e23ed5a31c87543"
"M",54,"2018-03-08",70000,17.58,25.03,140,630,11,193.38,"5","8","9","89",17,"589",22,"024218e67fa549a4a0a99b32b7b6fbf9"
"M",70,"2015-01-04",65000,2.97,5.6,1299,714,16,47.45,"10","10","4","104",14,"10104",24,"0246e7cc7a3d4a98a940cb13776b5b55"
"F",81,"2018-04-01",79000,22.34,27.6,117,450,4,89.37,"1","3","6","36",9,"136",10,"0246f8fdf0b64014a98822b70231c58d"
"M",77,"2018-01-16",53000,2.27,4.11,191,618,10,22.65,"4","8","2","82",10,"482",14,"0247953d899b4a99acab74fa0a807c0f"
"M",74,"2016-02-11",36000,1.99,5.89,896,594,14,27.9,"3","9","3","93",12,"393",15,"0251876076024444864473545adce065"
"F",49,"2018-01-26",58000,10.36,10.36,181,282,1,10.36,"1","1","1","11",2,"111",3,"0252aa6f0dee4585ba886945c60f48f5"
"M",45,"2018-04-16",43000,2.86,9.34,102,600,6,17.18,"3","5","2","52",7,"352",10,"02557fafcf334c30a22c312c5647f71a"
"F",49,"2017-11-28",74000,26.38,26.38,240,366,1,26.38,"1","1","3","13",4,"113",5,"026876bc8c6a4e0c8e330342c92cc844"
"M",35,"2017-08-29",64000,2.48,5.99,332,606,6,14.86,"4","5","2","52",7,"452",11,"027596e6ed19471392923eb833b25fd3"
"F",62,"2018-06-29",40000,9.86,15.15,28,648,5,49.29,"6","4","4","44",8,"644",14,"02765747959045a0a7c452888b2f31eb"
"O",43,"2017-05-26",56000,17.04,25.94,427,684,12,204.49,"8","8","9","89",17,"889",25,"0276c9a3092d4f79a29d61a1462f9b4d"
"M",50,"2015-01-23",73000,2.23,5.56,1280,528,11,24.55,"2","8","3","83",11,"283",13,"027c18923c0146e58ccd615f6a62d82f"
"M",64,"2017-08-05",75000,3.79,9.37,356,696,5,18.95,"9","4","2","42",6,"942",15,"02865fee714e466e99f9bb7a7203887b"
"F",79,"2016-05-02",88000,24.13,30.72,816,384,3,72.4,"1","2","5","25",7,"125",8,"028a12f0ee584455850300886174f3d7"
"F",84,"2016-07-01",108000,26.57,42.3,756,630,14,372.02,"5","9","10","910",19,"5910",24,"028c88a958e54c36a31c4800fd6e887b"
"M",71,"2017-11-25",93000,23.26,37.34,243,180,3,69.77,"1","2","5","25",7,"125",8,"029e063479234fb1b6c8727c3d45de62"
"M",54,"2018-06-06",70000,19.13,25.8,51,624,6,114.77,"4","5","7","57",12,"457",16,"02a3aa431c1047be8eafec3dcd6b5fd0"
"F",59,"2018-06-27",99000,26.84,32.18,30,618,2,53.69,"4","1","4","14",5,"414",9,"02a458e1233342b79caff81edbcc30a9"
"M",26,"2018-02-22",61000,15.8,20.11,154,702,8,126.42,"9","6","7","67",13,"967",22,"02abd909ebc94aca8766f3f0ee39db80"
"M",65,"2016-10-28",46000,3.07,7.35,637,660,13,39.91,"6","9","3","93",12,"693",18,"02b5aa5725f94bcb94ca58208015b7bc"
"M",53,"2017-10-13",34000,2.99,9.95,287,690,16,47.81,"8","10","4","104",14,"8104",22,"02b6895b3cab4f79a116bddc1c70b5c3"
"F",32,"2017-10-30",34000,36.38,301.03,269,678,11,400.16,"7","8","10","810",18,"7810",25,"02b7a80a321c4b078af92d494cc0f012"
"F",87,"2017-05-07",94000,22.95,26.39,446,588,4,91.81,"3","3","6","36",9,"336",12,"02ba8c272f284139abef53e0290bfb67"
"F",20,"2016-07-11",30000,2.99,9.8,746,420,10,29.89,"1","8","3","83",11,"183",12,"02c083884c7d45b39cc68e1314fec56c"
"F",54,"2016-04-24",109000,26.31,32.08,824,534,3,78.94,"2","2","5","25",7,"225",9,"02c6daf74a49491ca397f105ef944784"
"M",58,"2016-03-16",79000,20.13,29.83,862,612,13,261.71,"4","9","10","910",19,"4910",23,"02c89861ce2c4010bf4ed63f6f6d5df3"
"M",28,"2018-04-29",45000,5.48,6.45,89,660,4,21.93,"6","3","2","32",5,"632",11,"02c8c9806a8c44f792a218fb2e8756b3"
"M",73,"2017-08-27",30000,0.61,0.61,334,648,1,0.61,"6","1","1","11",2,"611",8,"02db8af535e54416a01aff51836d166f"
"M",37,"2017-11-22",60000,15.15,23.35,246,708,12,181.82,"10","8","9","89",17,"1089",27,"02dd040b77914163b1fd02efc3976d55"
"M",24,"2016-11-20",73000,4.4,8.9,613,660,15,65.97,"6","9","5","95",14,"695",20,"02e2211319524b9e8bd09794d00d8513"
"M",44,"2017-10-17",74000,3.49,13.05,283,684,14,48.86,"8","9","4","94",13,"894",21,"02e4c9dff62e4857a429a4be3ba73ed0"
"M",51,"2016-01-07",98000,25.78,36.72,931,630,8,206.25,"5","6","9","69",15,"569",20,"02e5396559f94469b6d03e40d85830c7"
"M",55,"2017-10-05",61000,13.53,23.05,295,558,11,148.87,"2","8","8","88",16,"288",18,"02e6dbe7c694441a88f9160b6b0e1a35"
"F",39,"2016-10-15",74000,3.86,7.74,650,660,11,42.48,"6","8","4","84",12,"684",18,"02e6dd10b22c43fcb5a2dfc0038dac22"
"F",79,"2016-02-29",57000,15.75,21.27,878,666,12,188.97,"7","8","9","89",17,"789",24,"02eba2268a3640bb8e85880e12617c5f"
"F",84,"2017-01-28",96000,26.21,39.42,544,684,10,262.09,"8","8","10","810",18,"8810",26,"02efe2a67be247a686f79ba1cbce42f1"
"F",59,"2016-04-04",97000,30.38,49.84,844,714,6,182.29,"10","5","9","59",14,"1059",24,"02efe413dd194069ab58abde38ab5e02"
"M",67,"2017-12-07",46000,3.53,6.61,231,690,5,17.64,"8","4","2","42",6,"842",14,"02f638a6c98241c98b24a06ca489aac0"
"M",45,"2016-05-28",84000,20.56,30.23,790,696,8,164.47,"9","6","8","68",14,"968",23,"03019e49a5164723ae527bbd6949e0c1"
"M",51,"2015-12-18",114000,21.22,23.56,951,696,6,127.31,"9","5","7","57",12,"957",21,"0305b52a24744a9bb660bffc6b39e884"
"M",74,"2016-04-12",69000,4.13,13.49,836,714,16,66.08,"10","10","5","105",15,"10105",25,"030c30c1955f4a17be09b692caf5ec5f"
"F",40,"2018-01-20",63000,17.68,30.76,187,714,18,318.21,"10","10","10","1010",20,"101010",30,"03118ab70a404fada1a433cd6abaa491"
"M",41,"2017-09-22",83000,0,0,308,0,0,0,"1","1","1","11",2,"111",3,"031387fa9cfd47e88f4e4b4b4cb71925"
"M",79,"2017-03-08",71000,17.3,25.55,505,630,12,207.63,"5","8","9","89",17,"589",22,"03257d4fcb6641aebaa46d5605d205ca"
"F",21,"2016-11-24",74000,20.34,29.43,609,642,12,244.02,"5","8","10","810",18,"5810",23,"0335d274249f4eb6b3c51527f02a3216"
"F",30,"2016-12-05",41000,2.91,10.34,598,672,9,26.21,"7","7","3","73",10,"773",17,"03374e3f14564b36a7138154ed8c194a"
"M",82,"2017-10-12",89000,26.87,28.21,288,582,2,53.74,"3","1","4","14",5,"314",8,"033bf5269a494dd787e5e9f4a45b843c"
"M",82,"2015-11-20",78000,22.45,31.91,979,582,5,112.24,"3","4","6","46",10,"346",13,"033d0a511a5c452ea2be37a23f8c6dcb"
"F",62,"2016-12-23",108000,30.14,39.21,580,438,3,90.43,"1","2","6","26",8,"126",9,"033f0ee2250e475b87f70115e7895957"
"M",66,"2018-07-11",108000,29.99,37.9,16,588,3,89.98,"3","2","6","26",8,"326",11,"033fed8bb1504885b866429db25543a0"
"M",32,"2017-11-23",59000,2.95,5.14,245,582,7,20.65,"3","6","2","62",8,"362",11,"0340f0361285411ab60a24823b020112"
"M",52,"2016-01-06",56000,14.42,20.75,932,714,17,245.22,"10","10","10","1010",20,"101010",30,"0342c7c449a84440b3f7a80ad095761a"
"F",70,"2014-01-30",31000,3.03,9.27,1638,618,13,39.45,"4","9","3","93",12,"493",16,"0345b2da6507473ca4400ed84dc6725a"
"M",41,"2017-09-19",68000,11.06,11.53,311,552,2,22.13,"2","1","2","12",3,"212",5,"034946bd82b34a219b556a47f1200828"
"M",60,"2017-07-29",74000,17.44,24.65,363,642,8,139.53,"5","6","7","67",13,"567",18,"034b962ed61d4da1bb0baaec84cc2e85"
"M",23,"2018-07-12",48000,4.51,8.44,15,588,5,22.57,"3","4","2","42",6,"342",9,"034ce97360c6485ab990d903343f9f08"
"F",57,"2017-10-01",76000,11.37,11.37,299,348,1,11.37,"1","1","1","11",2,"111",3,"034dcdec0a0547a19d77dcf2bc8ecc48"
"F",77,"2016-06-09",88000,18.18,21.13,778,714,6,109.09,"10","5","6","56",11,"1056",21,"0355c6a5fdbc429ea5b05e8a9ecd2eae"
"M",71,"2018-03-02",59000,1.82,3.19,146,570,3,5.45,"3","2","1","21",3,"321",6,"03566626393f43a88c55de21c61761d0"
"M",67,"2013-10-19",73000,17.95,21.34,1742,456,4,71.82,"1","3","5","35",8,"135",9,"03568fe0e51b41a9bd752ec8be307ba5"
"M",81,"2017-09-20",115000,25.16,35.95,310,714,8,201.29,"10","6","9","69",15,"1069",25,"03575a43a3da4691998de01fff617f99"
"F",37,"2015-11-22",89000,21.83,30.19,977,702,12,261.95,"9","8","10","810",18,"9810",27,"035d5aa3c23a4059ae663b4c07aa26ce"
"M",35,"2017-12-17",48000,12.37,19.89,221,648,8,98.99,"6","6","6","66",12,"666",18,"03637e48ffda4bf9b73b079d03c0bbe3"
